date,sector,close,daily_return_pct
2026-07-17,航運,185.17,-2.08
2026-07-17,觀光餐旅,99.42,-0.98
2026-07-17,貿易百貨,247.66,-1.41
2026-07-17,資訊服務,206.17,-2.08
2026-07-17,通信網路,230.38,-3.82
2026-07-17,造紙,270.23,-1.48
2026-07-17,運動休閒,57.69,-1.16
2026-07-17,金融保險,3080.89,-0.84
2026-07-17,鋼鐵,115.53,-1.53
2026-07-17,電器電纜,98.92,-4.77
2026-07-17,電子通路,352.95,-4.3
2026-07-17,電子零組件,824.93,-8.79
2026-07-17,電機機械,495.47,-6.28
2026-07-17,電腦及週邊設備,372.54,-5.24
2026-07-17,食品,2010.74,0.31
2026-07-20,光電,59.64,-3.24
2026-07-20,其他,282.79,0.62
2026-07-20,其他電子,255.44,-0.3
2026-07-20,化學,188.05,-2.19
2026-07-20,化學生技醫療,163.67,-0.96
2026-07-20,半導體,1453.72,0.29
2026-07-20,塑膠,328.36,-5.06
2026-07-20,居家生活,98.71,0.32
2026-07-20,建材營造,467.21,-0.03
2026-07-20,數位雲端,40.85,0.34
2026-07-20,橡膠,198.51,-0.96
2026-07-20,水泥,118.35,0.43
2026-07-20,汽車,290.08,-0.16
2026-07-20,油電燃氣,105.61,-4.0
2026-07-20,玻璃陶瓷,128.35,-5.17
2026-07-20,生技醫療,93.11,-0.42
2026-07-20,紡織纖維,483.07,-0.64
2026-07-20,綠能環保,142.08,-3.46
2026-07-20,航運,185.26,0.05
2026-07-20,觀光餐旅,99.94,0.52
2026-07-20,貿易百貨,248.39,0.29
2026-07-20,資訊服務,206.02,-0.07
2026-07-20,通信網路,230.82,0.19
2026-07-20,造紙,265.8,-1.64
2026-07-20,運動休閒,57.74,0.09
2026-07-20,金融保險,3063.44,-0.57
2026-07-20,鋼鐵,114.72,-0.7
