date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2025-01-20,78.2,84.2,73.4,75.1,80.2,3.5311,3.5311
2025-01-21,75.3,83.1,73.0,74.8,70.1,3.5311,3.5311
2025-01-22,79.4,85.9,73.6,75.3,83.0,3.5311,4.1045
2025-02-03,51.4,66.6,56.8,65.4,17.0,0.9631,4.7761
2025-02-04,66.6,67.9,82.4,69.6,46.7,0.9631,4.7761
2025-02-05,81.8,81.0,78.7,70.7,96.9,0.9631,4.7761
2025-02-06,74.6,83.1,74.7,71.2,69.6,0.9631,4.8637
2025-02-07,80.3,85.4,75.5,72.2,88,1.3871,5.3565
2025-02-10,66.9,83.1,75.4,70.8,38.4,1.0547,6.9918
2025-02-11,76.6,84.6,75.8,71.3,74.9,1.0547,6.9918
2025-02-12,73.6,74.4,81.3,69.2,69.4,1.0547,7.4528
2025-02-13,74.8,75.5,81.2,69.2,73.3,1.0547,7.4528
2025-02-14,62.9,73.0,76.5,67.7,34.4,0.7549,7.4528
2025-02-17,81.1,78.1,80.9,67.5,97.8,0.7549,7.4528
2025-02-18,73.9,80.1,76.7,66.6,72.0,1.8733,7.4564
2025-02-19,72.6,88.1,83.1,64.7,54.5,1.8733,7.4564
2025-02-20,68.0,85.7,82.6,64.1,39.7,2.8532,7.4564
2025-02-21,78.2,89.2,77.8,65.1,80.9,4.1045,7.4564
2025-02-24,66.8,85.7,77.5,65.4,38.7,4.1096,6.8087
2025-02-25,59.0,74.3,78.0,64.5,19.2,3.4427,6.1605
2025-02-26,70.4,82.9,76.3,64.7,57.6,3.4427,6.1993
2025-02-27,59.2,70.0,68.5,70.8,27.5,2.0696,6.2911
2025-03-03,58.6,65.6,75.9,67.6,25.5,1.8046,9.5139
2025-03-04,59.6,64.0,77.3,69.3,27.7,3.5013,9.5139
2025-03-05,66.8,68.6,76.4,69.4,52.9,3.5013,9.5139
2025-03-06,61.0,65.7,75.1,67.0,36.4,3.3182,15.3335
2025-03-07,58.8,62.5,75.0,66.4,31.2,2.7214,18.2322
2025-03-10,58.3,59.7,74.8,66.2,32.4,2.215,22.5627
2025-03-11,53.0,50.8,69.6,66.1,25.7,1.4215,22.2793
2025-03-12,57.5,50.0,74.3,65.8,40,1.4253,22.2793
2025-03-13,56.1,43.1,76.0,65.3,40,1.3957,22.2793
2025-03-14,63.4,44.5,80.9,65.8,62.3,1.3957,22.2793
2025-03-17,62.8,49.9,74.0,68.3,59.2,1.3957,22.2793
2025-03-18,67.9,52.0,73.4,68.7,77.3,1.3957,22.2793
2025-03-19,49.5,38.9,74.1,61.6,23.6,1.2094,22.2793
2025-03-20,71.9,46.1,76.9,64.6,100.0,1.9015,22.2793
2025-03-21,56.8,44.0,74.6,64.4,44.4,3.0094,21.9162
2025-03-24,56.4,42.1,73.1,62.6,48.0,7.0816,21.9162
2025-03-25,64.2,45.0,65.2,65.1,81.6,7.0816,21.9162
2025-03-26,60.8,45.4,59.9,65.7,72,7.0277,21.8709
2025-03-27,48.6,33.2,73.1,64.6,23.4,12.3881,20.7728
2025-03-28,46.7,27.9,69.0,63.5,26.5,14.5487,19.4934
2025-03-31,35.1,11.3,57.0,42.0,30.0,18.3417,18.3417
2025-04-01,61.7,24.8,76.7,72.2,73.2,18.3417,18.3417
2025-04-02,61.8,25.6,76.5,73.0,72,18.3417,18.3417
2025-04-07,52.2,0.0,67.4,41.6,100.0,9.5703,9.5703
2025-04-08,28.9,0.0,38.1,39.8,37.5,5.7865,5.7865
2025-04-09,29.8,0.0,44.0,38.0,37.4,1.9623,5.3593
2025-04-10,45.6,4.5,52.9,71.5,53.4,2.6133,5.3593
2025-04-11,61.5,9.5,72.0,73.1,91.3,2.6133,5.3593
2025-04-14,45.4,10.0,79.9,45.9,45.8,3.7843,5.3593
2025-04-15,55.4,13.4,54.6,82.4,71.4,5.3593,5.3593
2025-04-16,40.6,9.5,59.1,67.3,26.5,3.465,3.465
2025-04-17,43.7,8.6,60.0,66.2,39.9,3.1018,3.1018
2025-04-18,40.9,9.5,52.8,66.9,34.3,3.1018,3.1018
2025-04-21,48.9,7.4,59.5,66.8,61.9,1.637,1.637
2025-04-22,46.5,6.5,57.4,67.6,54.5,0.8164,1.4643
2025-04-23,64.5,12.9,74.3,70.7,100.0,0.8164,1.4643
2025-04-24,47.0,11.0,58.7,64.1,54.1,0.0,1.4643
2025-04-25,58.7,23.8,54.9,65.8,90.4,1.225,1.4643
2025-04-28,56.5,26.9,55.5,66.9,76.9,1.275,2.3217
2025-04-29,60.9,30.5,61.9,72.8,78.6,1.275,2.3217
2025-04-30,58.1,33.0,75.5,70.9,53.1,1.275,2.3217
2025-05-02,71.8,38.9,75.6,72.6,100.0,1.275,3.85
2025-05-05,65.1,35.9,71.4,71.5,81.5,0.0507,3.85
2025-05-06,66.2,41.7,75.8,72.3,75.1,0.015,3.85
2025-05-07,65.8,41.2,76.5,71.8,73.6,0.015,3.85
2025-05-08,63.9,37.7,77.7,70.0,70.1,0.2416,3.85
2025-05-09,72.6,46.4,78.0,70.9,95.2,0.2416,3.85
